"team_id","team_abbreviation","team_name","gp","w","l","min","min1","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","season"
1610612738,"BOS","Boston Celtics",72,48,24,242.08,242.08,93951.79,17.79,9.53,8.27,4.13,4.45,3.81,2019
1610612751,"BKN","Brooklyn Nets",72,35,37,242.78,242.78,93715.39,17.75,9.74,8.01,4.14,4.55,3.72,2019
1610612766,"CHA","Charlotte Hornets",64,23,41,242.34,242.34,95775.52,18.14,9.82,8.32,4.23,4.53,3.93,2019
1610612741,"CHI","Chicago Bulls",65,22,43,241.15,241.15,97728.2,18.51,9.86,8.65,4.32,4.66,3.99,2019
1610612739,"CLE","Cleveland Cavaliers",65,19,46,241.92,241.92,93792.8,17.76,9.72,8.04,4.14,4.37,3.88,2019
1610612742,"DAL","Dallas Mavericks",73,41,32,242.05,242.05,93858.52,17.78,9.8,7.98,4.14,4.45,3.81,2019
1610612743,"DEN","Denver Nuggets",73,46,27,243.08,243.08,93819.11,17.77,9.65,8.12,4.14,4.4,3.86,2019
1610612765,"DET","Detroit Pistons",65,20,45,241.92,241.92,93913.69,17.79,9.8,7.98,4.15,4.46,3.82,2019
1610612744,"GSW","Golden State Warriors",65,15,50,241.92,241.92,97266.14,18.42,9.89,8.53,4.29,4.66,3.93,2019
1610612745,"HOU","Houston Rockets",72,44,28,241.39,241.39,90034.76,17.05,8.74,8.31,3.99,4.27,3.74,2019
1610612754,"IND","Indiana Pacers",73,45,28,241.37,241.37,95753.58,18.14,9.7,8.43,4.24,4.53,3.95,2019
1610612746,"LAC","LA Clippers",72,49,23,241.39,241.39,94736.54,17.94,9.63,8.31,4.16,4.54,3.79,2019
1610612747,"LAL","Los Angeles Lakers",71,52,19,240.7,240.7,91557.37,17.34,9.15,8.19,4.09,4.36,3.83,2019
1610612763,"MEM","Memphis Grizzlies",73,34,39,240.68,240.68,95677.86,18.12,9.79,8.33,4.23,4.59,3.88,2019
1610612748,"MIA","Miami Heat",72,44,28,243.12,243.12,95394.22,18.07,9.88,8.19,4.16,4.48,3.83,2019
1610612749,"MIL","Milwaukee Bucks",72,55,17,241.04,241.04,96124.44,18.21,9.69,8.51,4.26,4.68,3.87,2019
1610612750,"MIN","Minnesota Timberwolves",64,19,45,243.12,243.12,94181.16,17.84,9.63,8.21,4.14,4.48,3.79,2019
1610612740,"NOP","New Orleans Pelicans",71,30,41,241.76,241.76,98357.68,18.63,10.08,8.55,4.33,4.82,3.86,2019
